"bar_index","piano_right_hand","piano_left_hand"
"1","g8 [b8] d'8 [g'8] b'8 [d''8]","g4 b4 g4"
"2","g''8. [b''16] e''8. [g''16] fis''8. [a''16]","e4 cis4 d4"
"3","\tuplet 3/2 {gis''8 [a''8 b''8]} b''2 ^\trill","r4 e4 d4"
"4","a''8 [b'8] r8 dis''8 fis''8 [a''8]","dis4 b,4 dis4"
"5","a''8 g''8 fis''8 [e''8] fis''4","e4 a,4 d4"
"6","a8 [cis'8] b8 [a8] cis''4","r4 g4. a8"
"7","d''4 fis''4 a''4","fis8 [e8] d4. fis8"
"8","a'2.","a,4 a8 [g8] fis8 [e8]"
"9","fis''8. [a''16] cis''8. [e''16] d''4","d4 a,4 d,4"
"10","cis''8 [e''8] d''8 [cis''8] b'8 [a'8]","r4 g4 g4"
"11","fis''8 [d''8] cis''8 [d''8] fis''8 [a''8]","r4 d4 d4"
"12","g''8. [b''16] dis''8. [fis''16] e''4","e4 b,4 e,4"
"13","\tuplet 3/2 {fis''8 [g''8 a''8]} fis''4 \tuplet 3/2 {cis''8 [d''8 e''8]}","d'4 a4 g4"
"14","fis''8 [e''8] e''4 fis''4","d4. a8 fis8 [d8]"
"15","g''8 [a'8] r8 cis''8 e''8 [g''8]","cis4 a,4 cis4"
"16","d'2.","d4 a,4 d,4"
"17","\tuplet 3/2 {b'8 [a'8 g'8]} b'4 b'4","r4 g4 g4"
"18","\tuplet 3/2 {fis''8 [e''8 d''8]} fis''4 fis''4","r4 d4 d4"
"19","fis''8 [d'8] r8 a''8 cis''8 ([d''8])","d4 e4 fis4"
"20","g'8 [e''8] e'8 [g'8] fis'4","e4 cis4 d4"
"21","r8 a'8 [b'8 a'8] e''8 [g''8]","cis2."
"22","a'8 [d''8] g''8 [fis''8] e''8 [d''8]","r4 d4 d4"
"23","a'8 [d''8] fis''4 e''4","d4 d'4 a4"
"24","d'2.","d4 a,4 d,4"
"25","b'8 [g'8] fis'8 [g'8] b'8 [d''8]","g4 g4 g4"
"26","d''8 [d'8] fis'4 e'4 ^\trill","fis8 [g8] a4 a,4"
"27","d''8 [fis'8] g'8 [e''8] e'8 [cis''8]","d4 g4 a4"
"28","d'8 [g'8] cis''8 [b'8] a'8 [g'8]","g4 g4 g4"
"29","d'8 [a'8] g''4 (fis''4)","r4 d4 d4"
"30","fis''8 [d''8] a'8 [fis'8] d'4","d4. d8 fis8 [d8]"
"31","a'4 g'4 ^\trill fis'4","e4 a,4 d4"
"32","a''4 fis''8 [a''8] cis''8 [e''8]","d4 d4 a4"
"33","\tuplet 3/2 {a''8 [g''8 fis''8]} a''4 a''4","dis4. b,8 dis8 [b,8]"
"34","\tuplet 3/2 {g''8 [e''8 d''8]} \tuplet 3/2 {cis''8 [d''8 e''8]} \tuplet 3/2 {a'8 [a''8 g''8]}","cis4 a,4 cis4"
"35","cis''8 [e''8] a4. cis''8","a,4 cis8 [e8] g,8 [g8]"
"36","a'2.","a,4 a8 [g8] fis8 [e8]"
"37","e'8 [b'8] a''4 gis''4","r4 d4 d4"
"38","a''4 b'4 a''4","dis4. b,8 cis8 [dis8]"
"39","\tuplet 3/2 {fis''8 [e''8 d''8]} \tuplet 3/2 {cis''8 [d''8 e''8]} d''4","d4 g4 fis4"
"40","d'2.","d4 a,4 d,4"
"41","d'8 [fis'8] e'8 ^\trill [d'8] fis''4","r4 d4 d4"
"42","a''8 [b''8] g''8 [e''8] fis''8 [d''8]","cis4 cis4 d4"
"43","d''8 [fis''8] a''4. cis''8","d4 fis8 [d8] a8 [g8]"
"44","r8 b'8 c''8 [b'8] fis''8 [a''8]","dis2."
"45","g8 [b8] a8 ^\trill [g8] b'4","g4 g4 g4"
"46","g''8 [e''8] b'8 [g'8] e'4","e4. e8 g8 [e8]"
"47","d''8 [cis''8] b'8 ^\trill [a'8] d''4","fis4 g4 fis4"
"48","a'2.","a,4 a8 [g8] fis8 [e8]"
"49","b'8 [e''8] a''8 [gis''8] fis''8 [e''8]","r4 e4 e4"
"50","d'8 [fis'8] a'8 [d''8] fis''8 [a''8]","r4 fis4 d4"
"51","e'8 [a'8] d''8 [cis''8] b'8 [a'8]","r4 g4 g4"
"52","a''8 [a'8] cis''4 b'4 ^\trill","cis8 [d8] e4 e,4"
"53","fis''4 e''4 ^\trill d''4","a4 a,4 d4"
"54","d''8 [fis''8] e''8 [g''8] fis''4","fis4 cis4 d4"
"55","\tuplet 3/2 {a''8 [fis''8 e''8]} \tuplet 3/2 {dis''8 [e''8 fis''8]} \tuplet 3/2 {b'8 [b''8 a''8]}","dis4 b,4 dis4"
"56","a''8 [cis''8] d''8 [b''8] b'8 [gis''8]","cis4 d4 e4"
"57","d''8 [b''8] a''8 [cis''8] d''4","fis4. g8 fis4"
"58","a'2.","a,4 a8 [g8] fis8 [e8]"
"59","a''4 cis''4 b'4 ^\trill","cis8 [d8] e4 e,4"
"60","g''8 [fis''8] fis''4 g''4","e4. b8 g8 [e8]"
"61","\tuplet 3/2 {cis''8 [d''8 e''8]} cis''2 ^\trill","a,4 a,8 [cis8] e8 [g8]"
"62","e''8 [g''8] fis''8 [a''8] g''4","cis4 d4 g4"
"63","d'8 [fis'8] a'8 [d''8] cis''8 [e''8]","d4. fis8 a4"
"64","a'8 [e''8] g''4 fis''8. [a''16]","cis2 d4"
"65","g8 [d'8] cis''4 (b'4)","g4 g4 g4"
"66","d''8 [d'8] d'4 e'4 ^\trill","fis8 [g8] a4 a,4"
"67","a''8 [a'8] a'4 b'4 ^\trill","cis8 [d8] e4 e,4"
"68","a8 [e'8] d''4 (cis''4)","r4 g4 g4"
"69","gis''8 [b''8] a''8 [gis''8] fis''8 ^\trill [e''8]","r4 d4 d4"
"70","d''4 cis''4 ^\trill d''4","a4 a,4 d4"
"71","\tuplet 3/2 {a''8 [e''8 d''8]} \tuplet 3/2 {cis''8 [b'8 a'8]} \tuplet 3/2 {gis'8 [a'8 b'8]}","cis8. [d16] e4 e,4"
"72","\tuplet 3/2 {d''8 [a'8 b'8]} fis'4 e'4 ^\trill","fis8 [g8] a4 a,4"
"73","a'2.","a,4 a8 [g8] fis8 [e8]"
"74","a'8 [g''8] fis''8 ^\trill [e''8] fis''4","a4 cis4 d4"
"75","d''8 [d'8] d''2","fis4. e8 fis8 [d8]"
"76","\tuplet 3/2 {g''8 [fis''8 e''8]} \tuplet 3/2 {dis''8 [e''8 fis''8]} e''4","e4 a4 g4"
"77","d''8. [d'''16] b''4 a''4","fis4 g4 fis4"
"78","g''8 [e'8] r8 b''8 dis''8 [e''8]","e4 fis4 g4"
"79","d'4 fis'4 a'4","d4 fis4 a8 [g8]"
"80","g''4 a'4 g''4","cis4. a,8 b,8 [cis8]"
"81","d'2.","d4 a,4 d,4"
"82","d''4 fis'4 e'4 ^\trill","fis8 [g8] a4 a,4"
"83","gis''8 [b''8] e'4. gis''8","e4 gis8 [b8] d8 [b8]"
"84","e''8 [a'8] b'8 ^\trill [a'8] fis''8 [a''8]","cis4 cis4 d4"
"85","d'2.","d4 a,4 d,4"
"86","e''8 [cis''8] a'4. fis''8","cis4. a,8 d4"
"87","\tuplet 3/2 {a''8 [e''8 fis''8]} cis''4 b'4 ^\trill","cis8. [d16] e4 e,4"
"88","\tuplet 3/2 {g''8 [fis''8 e''8]} g''4 g''4","cis4. a,8 cis8 [a,8]"
"89","e'8 [gis'8] fis'8 ^\trill [e'8] gis''4","r4 d4. e8"
"90","a'2.","a,4 a8 [g8] fis8 [e8]"
"91","\tuplet 3/2 {d''8 [a'8 g'8]} \tuplet 3/2 {fis'8 [e'8 d'8]} \tuplet 3/2 {cis'8 [d'8 e'8]}","fis8. [g16] a4 a,4"
"92","fis''8 [a''8] g''8 [fis''8] e''8 ^\trill [d''8]","d4 e4 fis4"
"93","g''8 [b''8] a''8 [g''8] fis''8 ^\trill [e''8]","e4 fis4 g4"
"94","r8 e''8 cis''8 [a'8] g''8 [e''8]","cis4. a,8 b,8 [cis8]"
"95","r8 fis''8 [dis''8 b'8] a''8 [fis''8]","dis4. b,8 cis8 [dis8]"
"96","d'2.","d4 a,4 d,4"
